eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss
4.0,80000,0.4000000059604645,,,,,,0.2,-0.017171977029647678,0.9906280115246773,390,0.0030249804,0.0003,0.0701171875,-0.027258312329649925,0.00011808456656012823,-0.22588156862184405
4.0,81000,0.4000000059604645,,,,,,,,,,,,,,,
,81920,,23,0.3999999999999999,4.29,40,3542,,,,,,,,,,
4.0,82000,0.4000000059604645,,,,,,0.2,-0.024791663978248835,0.9838333558291197,400,0.1046706,0.0003,0.17392578125,-0.032303452491760254,0.00020533406011224997,-0.11576476178597658
4.0,83000,0.4000000059604645,,,,,,,,,,,,,,,
,83968,,23,0.3999999999999999,4.07,41,3608,,,,,,,,,,
4.0,84000,0.4000000059604645,,,,,,0.2,-0.0024214068602304907,0.9857134381309152,410,0.0003253525,0.0003,0.004833984375,-0.004244460724294186,0.00018138293326472877,-0.0954812265234068
4.0,85000,0.4000000059604645,,,,,,,,,,,,,,,
4.0,86000,0.4000000059604645,,,,,,,,,,,,,,,
,86016,,23,0.3999999999999999,4.06,42,3676,,,,,,,,,,
4.0,87000,0.4000000059604645,,,,,,0.2,-0.004686288017546758,0.9875593911856413,420,0.0014062885,0.0003,0.008203125,-0.010490577667951584,0.00018057269789011342,-0.09635120972525328
4.0,88000,0.4000000059604645,,,,,,,,,,,,,,,
,88064,,23,0.40299999999999997,4.14,43,3743,,,,,,,,,,
4.0,89000,0.4000000059604645,,,,,,0.2,-0.0024156835395842792,0.9819434396922588,430,0.001635656,0.0003,0.007763671875,-0.00026708096265792847,0.0002184107764250598,-0.09003290231339633
4.0,90000,0.4000000059604645,,,,,,,,,,,,,,,
,90112,,23,0.40299999999999997,4.08,44,3810,,,,,,,,,,
4.0,91000,0.4000000059604645,,,,,,0.2,-0.004753720419830643,0.9764580689370632,440,0.0033652934,0.0003,0.006787109375,-0.008640355430543423,0.0003344778921587022,-0.07028227483388036
4.0,92000,0.4000000059604645,,,,,,,,,,,,,,,
,92160,,23,0.4019999999999999,4.1,45,3878,,,,,,,,,,
4.0,93000,0.4000000059604645,,,,,,0.2,-0.019324466292164288,0.9892352884635329,450,0.026737414,0.0003,0.061376953125,-0.07073543220758438,0.0001274844005937581,-0.1136883095256053
4.0,94000,0.4000000059604645,,,,,,,,,,,,,,,
,94208,,23,0.3999999999999999,4.65,46,3947,,,,,,,,,,
50.0,95000,0.30000000447034836,,,,,,0.2,-0.06171379542211071,0.9928642506711185,460,0.5116881,0.0003,0.360009765625,-0.02123064175248146,6.557681591061737e-05,-0.3374486402142793
50.0,96000,0.30000000447034836,,,,,,,,,,,,,,,
,96256,,23,0.3919999999999999,21.28,47,4048,,,,,,,,,,
50.0,97000,0.30000000447034836,,,,,,0.2,-0.007009308553824667,0.8458323031663895,470,0.04906472,0.0003,0.181591796875,0.0009641116484999657,0.001183992749247409,-1.1668414568528533
50.0,98000,0.30000000447034836,,,,,,,,,,,,,,,
,98304,,23,0.3949999999999999,23.28,48,4149,,,,,,,,,,
50.0,99000,0.30000000447034836,,,,,,0.2,-0.0025392889190698044,0.8305545449256897,480,0.0042651608,0.0003,0.087060546875,-0.02167968638241291,0.0012856835748152663,-1.2501210156828164
50.0,100000,0.30000000447034836,,,,,,,,,,,,,,,
,100352,,23,0.40099999999999997,19.47,49,4250,,,,,,,,,,
