eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl
,112640,,4526,1000.0,24,55,0.6999999999999998,,,,,,,,,,
0.20000000298023224,113000,1000.0,,,,,,550,0.00020887417779249517,0.1869140625,0.0003,-6.031270672380924,-0.0232937768305419,0.2,-0.026849234476685524,0.9400200508534908,0.015756927
0.20000000298023224,114000,1000.0,,,,,,,,,,,,,,,
,114688,,4608,1000.0,24,56,0.6999999999999998,,,,,,,,,,
0.30000000447034836,115000,1000.0,,,,,,560,0.00014922313116016994,0.205859375,0.0003,-5.974909441173077,-0.027591577215935102,0.2,-0.010614987462759018,0.9508536718785763,0.019536788
0.30000000447034836,116000,1000.0,,,,,,,,,,,,,,,
,116736,,4690,996.69,24,57,0.701,,,,,,,,,,
0.30000000447034836,117000,1000.0,,,,,,570,0.00046977758024695503,0.179345703125,0.0003,-5.863094578683376,-0.024557093557086775,0.2,-0.0249624066054821,0.892406515777111,0.01629485
0.30000000447034836,118000,1000.0,,,,,,,,,,,,,,,
,118784,,4772,1000.0,24,58,0.7070000000000001,,,,,,,,,,
0.30000000447034836,119000,1000.0,,,,,,580,0.0001532322168372957,0.176171875,0.0003,-5.761232754588127,-0.021663027818431147,0.2,-0.025675131008028984,0.9641119539737701,0.02084855
0.30000000447034836,120000,1000.0,,,,,,,,,,,,,,,
,120832,,4853,1000.0,24,59,0.7070000000000001,,,,,,,,,,
0.30000000447034836,121000,1000.0,,,,,,590,0.0001277006374607481,0.168359375,0.0003,-5.995443606376648,-0.018668408991652542,0.2,-0.025415129959583282,0.9581128098070621,0.014028881
0.30000000447034836,122000,1000.0,,,,,,,,,,,,,,,
,122880,,4935,1000.0,24,60,0.7059999999999998,,,,,,,,,,
0.30000000447034836,123000,1000.0,,,,,,600,0.00013181862980502502,0.24150390625,0.0003,-5.70510666668415,-0.018497728288639336,0.2,-0.029686838388442993,0.9148921072483063,0.01662142
0.30000000447034836,124000,1000.0,,,,,,,,,,,,,,,
,124928,,5017,995.18,24,61,0.709,,,,,,,,,,
0.30000000447034836,125000,1000.0,,,,,,610,0.00030682444662488706,0.2544921875,0.0003,-5.7148297563195225,-0.021112123603234067,0.2,-0.07663225382566452,0.9035767689347267,0.023047034
0.30000000447034836,126000,1000.0,,,,,,,,,,,,,,,
,126976,,5098,1000.0,24,62,0.716,,,,,,,,,,
0.30000000447034836,127000,1000.0,,,,,,620,0.0004901654361560759,0.1654296875,0.0003,-5.565680578351021,-0.019196902270778082,0.2,0.0010554618202149868,0.8935038074851036,0.0144431675
0.30000000447034836,128000,1000.0,,,,,,,,,,,,,,,
0.30000000447034836,129000,1000.0,,,,,,,,,,,,,,,
,129024,,5207,1000.0,24,63,0.7200000000000002,,,,,,,,,,
0.30000000447034836,130000,1000.0,,,,,,630,0.00016584131320769303,0.13134765625,0.0003,-5.604906018078327,-0.024203794804634526,0.2,-0.019668567925691605,0.9625232890248299,0.014021361
0.30000000447034836,131000,1000.0,,,,,,,,,,,,,,,
,131072,,5289,1000.0,24,64,0.7160000000000001,,,,,,,,,,
0.30000000447034836,132000,1000.0,,,,,,640,0.00012779799741053922,0.204638671875,0.0003,-5.913387800753116,-0.02085313493735157,0.2,-0.03981233015656471,0.9632756635546684,0.020013934
