eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance
0.30000000447034836,1000.0,97000,,,,,,-0.04657865688204765,-6.09856628626585,0.00035137260747433177,0.0003,0.180615234375,-0.023520800544065423,0.015062008,470,0.2,0.9080476760864258
0.30000000447034836,1000.0,98000,,,,,,,,,,,,,,,
,,98304,3960,0.7806122448979592,24,1000.0,48,,,,,,,,,,
0.30000000447034836,1000.0,99000,,,,,,-0.010671587660908699,-6.057767842710018,0.00034121763455914335,0.0003,0.14130859375,-0.019594518779194915,0.011407873,480,0.2,0.904955193400383
0.30000000447034836,1000.0,100000,,,,,,,,,,,,,,,
,,100352,4041,0.7870000000000001,24,992.22,49,,,,,,,,,,
0.30000000447034836,1000.0,101000,,,,,,0.008227511309087276,-6.028881715238095,0.001079496321381157,0.0003,0.208740234375,-0.027447629711241463,0.019441059,490,0.2,0.8245119154453278
0.30000000447034836,1000.0,102000,,,,,,,,,,,,,,,
,,102400,4122,0.7870000000000001,24,990.0,50,,,,,,,,,,
0.20000000298023224,1000.0,103000,,,,,,-0.026015717536211014,-6.005407065153122,0.00023727222489924315,0.0003,0.1833984375,-0.021647160523571074,0.015879361,500,0.2,0.9317052885890007
0.20000000298023224,1000.0,104000,,,,,,,,,,,,,,,
,,104448,4203,0.79,24,990.0,51,,,,,,,,,,
0.20000000298023224,1000.0,105000,,,,,,-0.031680572777986526,-5.941592347621918,0.0002754705389861556,0.0003,0.149951171875,-0.023352012675604782,0.014614273,510,0.2,0.9395039081573486
0.20000000298023224,1000.0,106000,,,,,,,,,,,,,,,
,,106496,4285,0.8030000000000002,24,990.0,52,,,,,,,,,,
0.20000000298023224,1000.0,107000,,,,,,-0.050354793667793274,-5.926007752120495,0.0009397413518854592,0.0003,0.169580078125,-0.01929834519396536,0.016666856,520,0.2,0.8308554440736771
0.20000000298023224,1000.0,108000,,,,,,,,,,,,,,,
,,108544,4366,0.805,24,990.0,53,,,,,,,,,,
0.20000000298023224,1000.0,109000,,,,,,-0.046679019927978516,-5.970168451964855,0.00027692287259242223,0.0003,0.1703125,-0.020678282377775758,0.014195569,530,0.2,0.9448209032416344
0.20000000298023224,1000.0,110000,,,,,,,,,,,,,,,
,,110592,4448,0.8119999999999998,24,990.0,54,,,,,,,,,,
0.20000000298023224,1000.0,111000,,,,,,-0.0554768405854702,-5.966982071101666,0.00020911457945658186,0.0003,0.143701171875,-0.026100131115526892,0.014452878,540,0.2,0.9502423331141472
0.20000000298023224,1000.0,112000,,,,,,,,,,,,,,,
,,112640,4530,0.813,24,990.0,55,,,,,,,,,,
0.20000000298023224,1000.0,113000,,,,,,-0.03486127778887749,-5.96593718379736,0.00019971359132000543,0.0003,0.175244140625,-0.02205338248750195,0.017176826,550,0.2,0.9282153770327568
0.20000000298023224,1000.0,114000,,,,,,,,,,,,,,,
,,114688,4611,0.816,24,990.0,56,,,,,,,,,,
0.20000000298023224,1000.0,115000,,,,,,-0.047767769545316696,-5.913399927318096,0.0001999102266609043,0.0003,0.158984375,-0.02760812399792485,0.016224347,560,0.2,0.9565608091652393
0.20000000298023224,1000.0,116000,,,,,,,,,,,,,,,
,,116736,4693,0.819,24,990.0,57,,,,,,,,,,
0.20000000298023224,1000.0,117000,,,,,,-0.011639363132417202,-5.882930141687393,0.00018200206638994132,0.0003,0.14111328125,-0.01797171966172755,0.012123831,570,0.2,0.9525548405945301
0.20000000298023224,1000.0,118000,,,,,,,,,,,,,,,
,,118784,4775,0.823,24,990.0,58,,,,,,,,,,
0.20000000298023224,1000.0,119000,,,,,,-0.032289426773786545,-5.88118052482605,0.0001409303227177361,0.0003,0.128857421875,-0.02336167241592193,0.012801512,580,0.2,0.9713166262954473
0.20000000298023224,1000.0,120000,,,,,,,,,,,,,,,
,,120832,4857,0.8299999999999998,24,990.0,59,,,,,,,,,,
0.20000000298023224,1000.0,121000,,,,,,-0.009845061227679253,-5.933612610399723,0.000144035834296119,0.0003,0.163427734375,-0.02106027715781238,0.013299225,590,0.2,0.9660526849329472
0.20000000298023224,1000.0,122000,,,,,,,,,,,,,,,
,,122880,4939,0.8470000000000002,24,978.06,60,,,,,,,,,,
0.20000000298023224,1000.0,123000,,,,,,-0.013641191646456718,-5.878384520113468,0.0007345665082766573,0.0003,0.17734375,-0.022655715516884813,0.01913707,600,0.2,0.9129614755511284
0.20000000298023224,1000.0,124000,,,,,,,,,,,,,,,
,,124928,5020,0.8530000000000002,24,972.16,61,,,,,,,,,,
0.20000000298023224,1000.0,125000,,,,,,0.004917723126709461,-5.897024376690387,0.0017366238652357425,0.0003,0.240576171875,-0.017990445616305806,0.016918337,610,0.2,0.8058157563209534
0.20000000298023224,1000.0,126000,,,,,,,,,,,,,,,
,,126976,5102,0.8750000000000001,24,963.0,62,,,,,,,,,,
0.5000000074505806,1000.0,127000,,,,,,-0.03074466995894909,-5.712609477341175,0.0014129587252227794,0.0003,0.23310546875,-0.02372882574563846,0.0176344,620,0.2,0.8867319524288177
0.5000000074505806,1000.0,128000,,,,,,,,,,,,,,,
0.5000000074505806,1000.0,129000,,,,,,,,,,,,,,,
,,129024,5212,0.8880000000000001,24,970.0,63,,,,,,,,,,
0.6000000089406967,1000.0,130000,,,,,,-0.0209497082978487,-5.787664467096329,0.0010397055985947646,0.0003,0.165478515625,-0.01615540760103613,0.013327377,630,0.2,0.8857368603348732
0.6000000089406967,1000.0,131000,,,,,,,,,,,,,,,
,,131072,5293,0.9000000000000002,24,961.62,64,,,,,,,,,,
